	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000192827	2048	1907	3189	3712	3288	2798	1890	2825
ENSG00000209106	16	16	18	18	15	19	13	26
ENSG00000179024	469	566	288	354	270	326	343	271
ENSG00000212842	539	402	543	408	395	387	810	389
ENSG00000203371	130	80	136	54	96	72	157	94
ENSG00000240813	322	442	422	386	211	363	464	143
ENSG00000147547	295	291	284	255	197	158	164	222
ENSG00000236724	272	138	258	321	206	125	243	187
ENSG00000111781	727	508	685	539	745	451	766	364
ENSG00000165273	43	29	114	43	46	13	87	18
ENSG00000124538	1023	1015	417	1150	1148	628	865	816
ENSG00000221009	45	14	18	30	14	15	29	17
ENSG00000181565	949	922	1143	976	1266	729	654	710
ENSG00000154011	2416	1474	2341	3839	2687	1432	2750	1894
ENSG00000105256	23	12	38	17	39	35	21	28
ENSG00000115307	6507	8341	6314	6531	7536	7588	5545	7011
ENSG00000249871	62	22	44	47	41	66	30	20
ENSG00000177120	244	143	250	96	196	128	208	156
ENSG00000142926	17	50	19	29	25	28	28	33
ENSG00000112708	66	62	45	35	64	53	77	53
ENSG00000143569	227	61	92	175	163	202	214	376
ENSG00000145640	48	34	39	31	39	33	50	41
ENSG00000160103	2192	411	1678	835	1867	602	1411	1318
ENSG00000105283	41	27	43	39	26	16	22	27
ENSG00000130108	265	305	189	145	192	266	163	287
ENSG00000146748	13	12	10	8	2	19	12	16
ENSG00000157138	19	8	23	14	34	11	37	12
ENSG00000219573	69	107	108	189	292	84	134	272
ENSG00000159815	120	218	211	173	153	206	331	311
ENSG00000154041	43	50	33	61	54	33	65	31
ENSG00000199627	448	163	385	295	490	103	421	389
ENSG00000242795	161	305	185	481	172	247	273	336
ENSG00000137437	41	33	21	32	42	37	37	26
ENSG00000192854	268	88	204	111	85	138	200	110
ENSG00000158622	19	27	37	11	26	23	11	17
ENSG00000239680	8	4	9	7	6	7	7	7
ENSG00000229250	36	64	23	20	52	46	30	31
ENSG00000210825	55	130	70	106	60	79	82	71
ENSG00000246214	1877	1221	1596	703	813	1440	1298	870
ENSG00000134279	317	629	189	554	431	240	381	172
ENSG00000145381	209	156	151	168	156	211	113	111
ENSG00000240915	2	3	3	1	1	0	1	0
ENSG00000122057	18	20	14	14	23	4	28	29
ENSG00000228013	329	251	561	226	465	288	841	303
ENSG00000245896	726	338	488	435	469	629	527	403
ENSG00000228586	174	121	114	94	170	85	115	188
ENSG00000230744	30	22	14	9	2	16	8	8
ENSG00000227162	6	4	5	3	1	3	3	2
ENSG00000122741	5	7	2	4	10	1	8	9
ENSG00000187178	233	95	270	115	266	164	181	126
ENSG00000141380	700	298	703	241	571	391	470	461
ENSG00000153914	2345	4050	5787	2856	7759	6200	7042	6797
ENSG00000103076	34	23	23	50	46	53	17	30
ENSG00000196795	327	300	210	215	208	205	284	272
ENSG00000184396	42	31	26	47	18	22	27	39
ENSG00000183430	81	100	77	145	73	78	80	71
ENSG00000223979	218	245	126	134	260	136	159	100
ENSG00000222070	35	47	62	68	113	73	98	60
ENSG00000168296	2575	2775	1589	2509	1941	2050	3320	2949
ENSG00000172047	28	10	12	16	32	21	14	13
ENSG00000123631	712	1013	760	1072	556	829	719	708
ENSG00000246053	113	167	110	75	138	126	83	161
ENSG00000207296	47	61	51	65	78	54	46	79
ENSG00000162725	1604	733	967	806	1151	654	1343	1175
ENSG00000195778	34	42	84	53	52	62	34	38
ENSG00000150890	670	241	478	307	298	236	555	228
ENSG00000207512	151	147	77	131	136	218	111	126
ENSG00000172921	785	580	652	305	393	575	1155	751
ENSG00000112218	18	13	19	22	13	17	8	13
ENSG00000115424	392	184	332	222	346	175	310	143
ENSG00000168467	421	513	331	445	177	578	757	508
ENSG00000116566	38	27	32	54	42	28	68	54
ENSG00000110145	24	14	25	31	36	35	27	20
ENSG00000149206	16	17	21	35	31	14	12	24
ENSG00000168802	87	116	91	160	154	82	213	194
ENSG00000219255	49	30	28	28	14	34	30	44
ENSG00000167627	502	442	353	583	392	422	338	392
ENSG00000150193	212	78	100	93	120	179	81	98
ENSG00000196297	85	104	37	64	171	123	121	90
ENSG00000161104	70	83	188	168	183	106	148	207
ENSG00000114749	167	208	270	221	173	149	192	196
ENSG00000216580	221	115	102	290	191	182	91	266
ENSG00000196021	644	342	478	579	594	490	349	638
ENSG00000176359	1617	2040	1599	1493	1583	1457	1504	961
ENSG00000120840	279	551	177	587	300	300	400	397
ENSG00000189268	400	417	314	440	782	387	383	567
ENSG00000145705	2800	3259	2068	3105	2398	4080	3755	3716
ENSG00000225641	5099	3099	3631	3043	2508	3647	2289	2937
ENSG00000165770	278	107	391	142	491	108	298	196
ENSG00000215642	11	14	17	14	18	25	39	23
ENSG00000221402	1296	1489	2657	1382	1839	1661	1355	1961
ENSG00000168940	46	46	64	40	58	19	46	23
ENSG00000160753	27	24	31	23	54	50	33	36
ENSG00000164162	33	24	32	44	26	35	43	25
ENSG00000192399	156	73	136	64	258	68	99	78
ENSG00000159088	0	1	0	5	1	1	1	0
ENSG00000137910	53	19	73	42	61	32	55	67
ENSG00000136243	2217	1749	1457	2232	1177	1288	1790	1473
ENSG00000170352	16515	28285	13902	22401	26787	36189	27563	21715
ENSG00000219454	370	551	369	453	501	330	280	405
ENSG00000156537	718	910	741	587	1221	620	687	962
ENSG00000132407	1084	782	2521	1669	2091	906	2621	762
ENSG00000220483	64	70	72	41	96	55	30	78
ENSG00000114916	33	13	22	15	23	39	19	30
ENSG00000233192	420	639	278	193	252	305	339	174
ENSG00000193179	1435	2742	1574	1529	1270	992	2307	1458
ENSG00000156652	192	228	131	234	218	331	223	354
ENSG00000205423	479	287	368	326	295	385	460	349
ENSG00000128919	292	220	99	172	101	118	113	120
ENSG00000212951	167	113	69	146	110	232	89	111
ENSG00000113744	55	72	61	70	75	65	49	92
ENSG00000182045	1656	1545	1531	1402	1994	1515	2209	1953
ENSG00000171674	816	1840	843	1386	946	781	1502	566
ENSG00000196388	110	88	143	39	129	139	135	145
ENSG00000154229	181	360	399	404	410	333	380	295
ENSG00000199829	325	702	777	811	673	790	362	783
ENSG00000222016	2033	2718	1703	1895	2163	2387	1652	1319
ENSG00000206185	8024	9068	6325	7349	6005	9796	9585	7395
ENSG00000210250	4381	6247	7599	8486	6057	7859	4562	4949
ENSG00000244658	191	284	279	301	208	68	122	203
ENSG00000124546	239	337	188	220	279	286	716	211
ENSG00000112015	101	111	232	124	88	106	100	126
ENSG00000202743	1225	1144	724	624	738	829	902	1100
ENSG00000205595	1699	1793	986	2593	1984	1864	863	2212
ENSG00000170110	23	8	14	13	13	10	9	4
ENSG00000152582	495	240	471	296	444	366	437	182
ENSG00000116701	2570	2610	2179	1325	4698	1025	3078	5833
ENSG00000186798	13	7	5	5	4	12	13	12
ENSG00000141592	2959	4446	3879	3405	3802	2636	3860	3158
ENSG00000188980	5279	1785	8010	2468	3835	2272	2595	2539
ENSG00000124607	53	56	73	71	44	90	48	28
ENSG00000180582	48	38	52	25	86	5	39	33
ENSG00000217064	8845	4212	3815	7719	5200	5688	7970	7166
ENSG00000215659	133	126	75	58	121	101	88	47
ENSG00000243182	14	13	25	40	4	5	10	13
ENSG00000102711	260	257	165	132	173	241	178	232
ENSG00000153768	21	16	10	14	19	9	15	9
ENSG00000182725	33	18	43	22	66	25	37	41
ENSG00000182106	6453	4535	8393	5268	6956	4959	7823	6082
ENSG00000124971	82	63	58	80	73	97	35	82
ENSG00000135136	155	94	142	164	123	122	128	104
ENSG00000106244	0	3	5	5	7	3	6	8
ENSG00000126257	32	34	37	21	34	34	19	27
ENSG00000246625	1074	851	944	1286	1559	1179	379	1943
ENSG00000140810	422	343	524	296	320	466	531	281
ENSG00000114717	1933	2427	1244	1825	1803	935	1496	1571
ENSG00000172209	1615	931	3286	1294	2423	1770	1372	1606
ENSG00000150225	246	267	286	187	398	340	237	246
ENSG00000235471	40	80	28	44	86	74	104	57
ENSG00000175099	2	1	1	3	1	5	3	3
ENSG00000220916	1948	1132	1823	1448	2740	1615	1062	705
ENSG00000151224	294	232	241	167	175	140	126	221
ENSG00000125629	25672	30586	15940	31060	41730	21000	25326	27160
ENSG00000144261	157	138	117	73	111	127	88	107
ENSG00000138213	187	178	81	89	69	105	285	118
ENSG00000202599	52	75	84	41	100	55	47	88
ENSG00000204625	4	9	15	10	16	17	13	17
ENSG00000247685	181	103	362	165	216	69	582	138
ENSG00000133839	315	331	401	261	186	321	152	178
ENSG00000191663	368	274	208	220	288	232	304	271
ENSG00000219648	157	83	70	82	88	52	75	53
ENSG00000137855	52	54	44	32	15	42	24	22
ENSG00000179872	1040	1495	1962	1591	1136	1531	1213	2460
ENSG00000216774	1257	1869	1066	958	1310	1366	1438	1376
ENSG00000147312	61	42	79	39	54	41	66	45
ENSG00000211485	25	10	15	13	30	17	35	20
ENSG00000113442	92	55	142	34	77	60	80	69
ENSG00000203803	51	27	41	36	31	50	19	31
ENSG00000186897	1190	1411	1175	1225	1685	734	1893	529
ENSG00000171399	10	40	14	46	30	38	42	19
ENSG00000186707	464	326	271	345	202	623	511	270
ENSG00000206459	17	12	28	17	15	37	17	43
ENSG00000166953	188	99	103	311	159	134	141	86
ENSG00000125992	37342	34033	37400	19819	23658	25507	17992	38997
ENSG00000184890	53	29	50	36	61	58	53	46
ENSG00000122401	373	251	292	538	232	288	276	710
ENSG00000101717	71	56	74	48	43	40	87	34
ENSG00000169502	2238	1662	882	1224	2575	1352	1105	1533
ENSG00000128567	502	239	273	106	335	506	319	385
ENSG00000102310	768	177	235	161	308	182	262	210
ENSG00000113437	2762	2947	3509	2834	4359	3952	4884	2870
ENSG00000154246	769	809	934	892	789	828	619	961
ENSG00000114053	759	289	489	1015	493	868	755	1061
ENSG00000234080	18	15	13	15	20	10	7	10
ENSG00000179962	17	43	35	26	25	29	40	36
ENSG00000159840	3022	4705	3415	4017	3601	3540	3648	1968
ENSG00000156051	15	11	11	14	15	24	9	18
ENSG00000215441	3721	3305	5506	3858	3920	4527	6675	4542
ENSG00000130590	3812	3404	1440	4730	3906	3358	3348	4080
ENSG00000193125	123	132	55	83	115	99	157	138
ENSG00000146663	41	34	14	31	43	13	21	45
ENSG00000163074	23	17	13	12	20	9	19	20
ENSG00000178340	763	623	680	794	650	370	562	946
ENSG00000206224	409	508	306	266	481	473	459	369
ENSG00000192041	55	16	59	15	93	21	65	28
ENSG00000182259	13	26	23	5	31	15	28	7
ENSG00000100097	320	340	309	521	284	308	466	215
ENSG00000190682	34	30	8	42	48	47	35	45
ENSG00000212247	103	138	141	80	199	86	144	184
ENSG00000202021	7	4	2	9	2	5	5	3
ENSG00000231598	197	150	421	285	382	354	527	236
ENSG00000215827	167	153	166	250	130	199	182	134
ENSG00000229724	41	51	33	17	41	50	35	33
ENSG00000110193	16	19	16	14	11	13	20	17
ENSG00000222036	69	90	48	212	90	78	106	174
ENSG00000135686	294	268	234	244	246	232	329	245
ENSG00000162927	343	357	214	448	266	128	212	177
ENSG00000231034	116	96	107	255	127	120	209	164
ENSG00000116707	50	21	36	25	55	15	23	25
ENSG00000103491	391	664	835	664	413	716	565	704
ENSG00000153459	1697	1111	1602	1484	662	966	1076	1443
ENSG00000249407	48	48	33	34	33	47	48	28
ENSG00000124251	29	14	14	12	20	9	26	5
ENSG00000203986	1444	1303	2812	2501	2437	2721	2457	3108
ENSG00000117967	98	192	204	206	125	151	257	155
ENSG00000150378	1	1	1	6	2	0	0	1
ENSG00000196478	887	601	791	847	705	839	1151	569
ENSG00000125668	129	160	212	370	184	203	326	186
ENSG00000181045	47	34	24	23	34	7	39	20
ENSG00000136390	174	117	199	131	125	131	168	139
ENSG00000116300	13	25	6	10	24	8	15	8
ENSG00000160435	24	38	24	13	35	28	12	13
ENSG00000179562	3	11	4	7	5	3	9	4
ENSG00000185120	855	850	1092	629	1531	1188	957	929
ENSG00000232882	61	71	35	22	21	53	36	37
ENSG00000247664	232	195	242	114	245	131	432	242
ENSG00000161004	281	159	514	163	134	258	169	171
ENSG00000107220	1	0	2	1	1	2	2	0
ENSG00000180247	267	213	243	87	317	134	392	153
ENSG00000203052	17	8	5	15	8	10	4	6
ENSG00000217446	817	1373	1304	1093	1209	1339	1840	940
ENSG00000230024	28	6	11	2	27	12	25	7
ENSG00000241485	796	434	309	649	534	430	371	690
ENSG00000238872	7199	1915	3353	5603	5223	2208	5612	1855
ENSG00000158589	136	172	179	257	133	231	149	322
ENSG00000194918	1663	703	1528	775	1347	585	2512	968
ENSG00000166871	1853	2400	1536	2121	2042	1357	1402	1481
ENSG00000167687	81	225	163	144	106	174	154	161
ENSG00000119385	193	50	130	31	142	98	80	80
ENSG00000216805	5	12	3	5	9	11	3	2
ENSG00000244181	8408	6565	3972	3834	4099	2829	5316	4441
ENSG00000166527	1123	620	1204	482	517	990	447	553
ENSG00000150083	1188	559	634	356	553	465	1180	406
ENSG00000194727	9	1	1	5	6	4	6	2
ENSG00000218542	817	665	1364	1172	738	1080	915	1328
ENSG00000220228	261	62	54	50	56	81	33	36
ENSG00000224390	145	78	194	131	138	282	133	177
ENSG00000226387	358	160	138	383	159	173	220	269
ENSG00000221837	971	1025	763	1507	745	915	488	573
ENSG00000150719	63	53	56	48	35	54	51	42
ENSG00000170588	41	20	32	35	14	40	27	19
ENSG00000121453	545	399	823	208	1574	540	578	650
ENSG00000171114	194	285	199	177	232	157	234	231
ENSG00000205592	48	43	25	55	24	22	43	26
ENSG00000166113	5169	6976	14285	11216	8831	6448	9232	9165
ENSG00000131641	721	1151	886	1600	1521	1219	1338	914
ENSG00000147157	3	2	3	6	7	4	8	10
ENSG00000215467	1	2	5	2	3	4	3	1
ENSG00000126077	5	4	5	3	3	3	2	3
ENSG00000104292	64	23	13	58	67	19	56	32
ENSG00000143434	320	294	287	386	320	149	192	119
ENSG00000194886	1156	2421	3369	2129	4265	4001	4093	1899
ENSG00000220838	257	186	255	122	214	194	288	109
ENSG00000167756	21	35	37	35	25	38	33	28
ENSG00000237892	150	159	176	167	212	176	185	162
ENSG00000201801	143	88	54	158	103	106	108	114
ENSG00000131601	66	21	33	28	47	9	34	11
ENSG00000125650	153	130	249	130	164	127	118	181
ENSG00000201145	6	3	14	0	7	4	4	6
ENSG00000142131	63	26	46	88	74	44	45	81
ENSG00000217793	179	386	237	307	345	302	233	176
ENSG00000202490	76	83	94	30	137	115	35	101
ENSG00000229148	169	418	418	557	163	362	230	225
ENSG00000223999	985	1086	1767	1129	1047	917	1130	874
ENSG00000237374	430	344	489	294	288	383	376	462
ENSG00000222862	479	444	772	692	519	313	736	547
ENSG00000119743	356	379	889	506	393	421	598	475
ENSG00000181237	111	139	99	76	105	77	54	89
ENSG00000249202	2170	1717	1189	842	799	1438	1261	1085
ENSG00000207348	167	206	198	211	249	190	273	145
ENSG00000127665	14	25	19	8	15	25	8	14
ENSG00000138849	1288	623	717	778	636	760	1233	1037
ENSG00000187580	51	116	152	129	119	80	97	164
ENSG00000162324	1	0	0	0	2	1	1	1
ENSG00000136266	2811	6641	4283	4978	2806	6321	2616	4564
ENSG00000181596	191	191	137	173	158	228	76	182
ENSG00000114669	35	35	31	25	39	30	41	27
ENSG00000146070	723	385	582	816	755	682	889	754
ENSG00000123429	294	352	653	457	353	324	230	471
ENSG00000163348	269	299	306	366	585	202	131	353
ENSG00000188955	7260	7819	2518	4323	3986	8754	3291	10258
ENSG00000203302	1948	913	1160	1793	2103	1585	804	1474
ENSG00000119129	176	116	194	119	243	97	306	126
ENSG00000121976	36	37	57	76	54	80	59	52
ENSG00000216883	9	22	9	9	15	14	21	35
ENSG00000189696	638	565	598	726	502	303	554	277
ENSG00000152449	118	228	170	217	189	426	276	220
ENSG00000114359	1836	1041	1558	1707	2009	1311	1810	644
ENSG00000180728	273	168	435	148	181	283	225	207
ENSG00000104660	1071	1521	517	862	679	489	613	1124
ENSG00000238641	4209	1267	1689	3798	2125	2058	1498	3206
ENSG00000227706	84	85	86	67	89	47	72	89
ENSG00000137665	36	32	32	34	44	31	24	38
ENSG00000181342	263	285	250	178	144	291	228	206
ENSG00000159903	14	21	12	14	23	4	13	19
ENSG00000175587	159	201	236	148	200	192	171	92
ENSG00000198832	138	62	93	164	110	71	122	132
ENSG00000147077	6502	2522	3419	3521	2550	2617	2345	3722
ENSG00000219205	212	114	199	148	129	77	173	91
ENSG00000149766	2036	2282	2486	2848	3682	1980	2677	2299
ENSG00000223462	51	86	94	85	158	81	68	92
ENSG00000231434	115	78	149	178	143	200	175	126
ENSG00000222976	101	89	87	72	96	70	65	26
ENSG00000142339	90	133	187	209	169	251	200	205
ENSG00000138216	105	41	87	27	123	90	153	50
ENSG00000239659	28	28	34	19	19	22	14	23
ENSG00000158601	24	9	23	42	9	18	9	10
ENSG00000153833	1462	1522	573	1409	797	1423	1386	1670
ENSG00000174744	516	306	162	118	331	216	206	227
ENSG00000127696	4650	5132	4059	4924	3929	5968	3292	6710
ENSG00000167261	6303	4694	6751	4887	6305	974	6066	3066
ENSG00000167833	73	20	78	24	104	41	62	30
ENSG00000126153	15586	6150	5629	7570	13783	9135	6007	12194
ENSG00000210652	116	47	66	59	100	59	75	100
ENSG00000221725	7	6	7	4	7	11	6	12
ENSG00000243403	12	9	8	11	25	19	11	27
ENSG00000240711	51	39	85	56	61	86	82	73
ENSG00000110821	0	2	2	1	1	6	0	0
ENSG00000228516	519	278	594	621	461	633	385	409
ENSG00000206452	133	44	72	163	131	98	134	55
ENSG00000102465	693	284	546	482	1185	652	497	487
ENSG00000217014	356	354	426	217	433	314	543	347
ENSG00000135081	414	447	205	265	411	325	391	284
ENSG00000228910	740	496	586	824	835	1385	712	606
ENSG00000196183	561	547	530	749	472	313	513	490
ENSG00000202936	17	14	21	15	6	9	7	4
ENSG00000162008	3831	5446	3989	3341	3369	3965	6439	5764
ENSG00000140600	59	55	67	84	86	96	62	48
ENSG00000230814	235	219	228	317	175	221	140	256
ENSG00000195807	979	495	1259	1369	449	359	654	905
ENSG00000185911	48	15	29	21	61	36	34	39
ENSG00000219620	138	72	69	42	81	78	161	72
ENSG00000206158	9	11	2	5	4	11	7	6
ENSG00000146281	436	759	713	649	1026	901	531	855
ENSG00000141654	708	799	664	419	675	640	603	987
ENSG00000136247	76	60	80	119	64	45	93	105
ENSG00000141706	58	14	31	71	28	25	43	46
ENSG00000206557	4	1	0	1	1	0	2	1
ENSG00000117942	257	472	665	306	263	300	511	386
ENSG00000235895	34	43	29	18	19	12	22	33
ENSG00000138531	81	42	25	68	109	58	79	85
ENSG00000223839	66	50	69	75	66	128	170	77
ENSG00000153026	69	108	46	38	62	85	71	77
ENSG00000248897	253	172	319	248	253	197	282	288
ENSG00000109846	574	553	545	961	757	357	303	345
ENSG00000103232	306	152	430	244	396	158	396	148
ENSG00000228936	20	25	12	12	18	13	15	17
ENSG00000220832	207	139	169	184	121	160	203	139
ENSG00000198259	215	114	93	77	125	193	111	41
ENSG00000225883	12	15	24	19	16	18	30	22
ENSG00000101298	139	189	129	128	67	155	74	120
ENSG00000112382	2877	851	1966	1308	1447	781	1607	1053
ENSG00000199990	767	550	1786	687	982	685	1101	890
ENSG00000173224	445	310	412	571	191	344	489	557
ENSG00000146918	315	473	432	802	416	505	497	695
ENSG00000120617	4	3	1	2	3	6	9	1
ENSG00000101260	294	114	202	213	320	274	305	209
ENSG00000236506	4037	3039	3068	3904	3047	3682	3094	2784
ENSG00000158866	107	129	77	100	91	129	57	59
ENSG00000183978	76	85	55	96	86	59	80	101
ENSG00000242847	51	82	40	65	56	17	42	29
ENSG00000135874	384	229	184	272	285	308	197	512
ENSG00000248551	185	113	117	170	149	166	187	97
ENSG00000125602	27	18	37	38	47	17	19	22
ENSG00000197242	162	175	306	273	235	126	147	253
ENSG00000171888	178	120	177	80	117	204	288	143
ENSG00000107852	378	544	316	369	277	481	381	431
ENSG00000111070	635	349	399	563	459	371	287	353
ENSG00000151078	31	38	61	39	49	33	62	65
ENSG00000207945	489	262	217	598	569	269	193	153
ENSG00000125378	180	144	122	211	177	193	139	160
ENSG00000113527	124	218	164	212	182	289	107	239
ENSG00000247127	99	75	101	132	84	103	46	89
ENSG00000198933	297	162	174	324	262	248	149	151
ENSG00000158185	125	80	96	33	80	61	76	35
ENSG00000154441	11	20	11	14	26	22	18	11
ENSG00000193879	2045	2046	1542	2371	2033	855	1912	1238
ENSG00000234253	13	15	10	18	12	17	18	15
ENSG00000169527	202	425	245	295	232	307	209	381
ENSG00000201708	710	1025	1067	646	874	748	709	714
ENSG00000243417	510	253	453	386	408	270	271	346
ENSG00000136068	101	72	97	74	144	87	114	115
ENSG00000236550	120	117	223	156	117	168	132	170
ENSG00000206878	16	12	5	12	14	7	7	10
ENSG00000244755	270	321	285	284	296	201	294	197
ENSG00000197333	48	29	34	18	11	24	39	16
ENSG00000189948	201	125	254	187	273	102	273	128
ENSG00000133038	12	31	23	26	29	22	27	41
ENSG00000242912	626	1025	594	876	553	624	1385	630
ENSG00000105457	89	80	68	56	53	95	83	108
ENSG00000208071	116	93	72	151	167	126	172	114
ENSG00000189412	2195	2725	2168	1928	2527	1974	2978	3569
ENSG00000173807	37	36	42	19	14	49	21	28
ENSG00000192138	66	75	160	121	72	98	102	48
ENSG00000205104	2	4	2	0	5	2	1	3
ENSG00000124023	100	108	91	98	83	71	90	84
ENSG00000170978	60	75	63	55	46	44	54	67
ENSG00000200444	42	49	32	21	26	24	57	31
ENSG00000193971	598	492	460	643	505	678	736	454
ENSG00000211034	5588	3601	4215	3680	7350	2548	4155	1111
ENSG00000147527	713	709	904	1010	514	753	315	788
ENSG00000195009	691	382	588	610	702	512	686	977
ENSG00000156954	1363	572	872	1394	798	828	981	1513
ENSG00000171220	81	47	35	36	18	89	59	58
ENSG00000147861	59	47	62	59	66	42	64	28
ENSG00000113714	335	402	347	175	161	194	323	306
ENSG00000122882	4982	4019	3157	5274	3685	2509	3275	7920
ENSG00000219901	66	36	52	71	75	38	30	56
ENSG00000221578	12	15	11	10	6	7	9	9
ENSG00000245237	139	295	128	103	122	178	119	121
ENSG00000126542	1119	876	933	1025	954	1111	892	1850
ENSG00000210212	949	334	347	481	779	1004	556	622
ENSG00000186031	339	413	293	673	436	214	192	555
ENSG00000139139	170	70	121	139	125	153	152	132
ENSG00000227305	697	577	745	959	746	669	588	686
ENSG00000173766	53	81	59	105	69	95	63	67
ENSG00000140129	2470	564	1847	1961	1546	1995	1133	1975
ENSG00000105443	2559	1407	2140	2579	1023	3016	1860	2495
ENSG00000144341	703	751	363	710	1044	849	869	1170
ENSG00000195229	8385	9315	8995	11902	8869	10511	6909	14610
ENSG00000188925	22012	17944	19421	15504	12212	17227	25171	32288
ENSG00000143357	38	33	35	41	31	28	49	52
ENSG00000205028	113	122	88	81	126	173	82	256
ENSG00000123964	29	14	21	38	7	27	30	37
ENSG00000109547	9	6	9	4	8	4	4	12
ENSG00000228112	20	25	27	23	17	17	15	16
ENSG00000112528	152	106	104	121	138	159	169	118
ENSG00000171015	272	561	543	355	315	399	614	356
ENSG00000218396	379	206	299	475	277	221	262	338
ENSG00000232935	1	5	1	1	0	2	0	0
ENSG00000249897	94	51	128	188	135	92	151	206
ENSG00000183264	19	4	12	10	15	10	18	14
ENSG00000104027	491	602	545	591	757	880	667	345
ENSG00000106469	47	29	33	24	37	32	35	22
ENSG00000104561	1126	852	833	1715	592	1725	1069	368
ENSG00000211041	6966	2311	8428	3939	3725	5456	9560	6085
ENSG00000247504	9639	5737	8475	6256	5617	6624	4927	7483
ENSG00000195730	90	81	69	130	154	74	85	88
ENSG00000234783	129	98	311	352	217	229	212	306
ENSG00000125589	44	94	135	76	93	105	175	86
ENSG00000227377	77	188	97	85	85	107	177	169
ENSG00000221306	6687	2418	3403	2164	2474	4275	5981	3576
ENSG00000116610	8	5	3	5	2	4	2	4
ENSG00000154837	28	69	49	28	55	76	71	64
ENSG00000160586	131	218	175	178	173	99	286	240
ENSG00000159784	37	33	45	72	30	67	119	43
ENSG00000237194	33	15	23	16	14	24	20	12
ENSG00000147815	1101	2175	976	552	1125	1786	1466	1433
ENSG00000160618	139	147	132	120	96	224	168	139
ENSG00000236195	65	43	47	34	70	54	90	77
