	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000104620	2357	1245	1541	2593	1105	591	2502	2041
ENSG00000168351	24	20	22	18	51	13	45	15
ENSG00000145421	78	66	72	65	126	58	72	95
ENSG00000183120	57	104	72	49	11	62	60	68
ENSG00000172320	89	99	78	113	45	103	143	69
ENSG00000134504	13	9	9	12	7	10	10	14
ENSG00000187219	10	14	11	21	8	8	12	14
ENSG00000235270	22240	29131	43410	28840	37540	13126	36357	20144
ENSG00000209707	483	1766	1108	833	1526	1108	778	1243
ENSG00000136934	26	34	43	23	34	40	38	45
ENSG00000112679	113	120	140	133	144	54	120	114
ENSG00000104771	474	664	333	400	426	564	414	388
ENSG00000100287	69	83	58	61	105	89	91	76
ENSG00000223740	1218	451	1477	304	1316	551	1253	601
ENSG00000106678	51	11	43	27	11	36	69	35
ENSG00000221439	84	50	44	49	54	68	68	70
ENSG00000162775	185	62	104	177	137	146	92	91
ENSG00000166740	61	54	26	61	59	55	79	72
ENSG00000171241	1	0	1	0	3	0	2	1
ENSG00000215490	189	216	145	110	129	153	151	166
ENSG00000236571	717	312	336	291	383	320	435	272
ENSG00000180141	455	281	326	360	195	400	498	348
ENSG00000119126	26	13	48	18	18	18	20	16
ENSG00000216581	371	268	368	166	288	160	136	342
ENSG00000123976	190	204	292	339	256	206	216	287
ENSG00000217990	5	5	5	8	4	5	4	3
ENSG00000222409	3	1	0	0	1	3	2	2
ENSG00000175226	555	343	356	342	395	209	641	248
ENSG00000145756	25	30	10	26	23	32	35	19
ENSG00000144270	1106	767	830	998	1238	976	1238	873
ENSG00000112542	7218	13164	7412	12155	7683	7776	13602	17294
ENSG00000201537	31	43	39	63	44	35	52	45
ENSG00000159168	49	36	45	23	53	41	34	37
ENSG00000180150	59	135	134	119	109	158	158	112
ENSG00000135838	352	440	412	380	612	377	332	888
ENSG00000208700	13	12	7	28	25	27	14	18
ENSG00000135288	1515	1758	2847	1522	1546	1231	1883	950
ENSG00000176984	1223	754	448	1001	1600	1576	1230	1097
ENSG00000220672	455	636	390	561	423	320	649	393
ENSG00000156988	65	64	63	55	78	38	42	30
ENSG00000194984	1101	665	1270	516	1326	837	719	913
ENSG00000117432	698	772	657	1010	1432	1444	888	1139
ENSG00000150057	23	12	14	22	8	21	14	14
ENSG00000150156	17124	11131	5656	8145	10856	7005	12034	19782
ENSG00000186572	111	81	104	85	86	60	74	72
ENSG00000103252	185	229	297	296	320	458	306	199
ENSG00000246909	39	75	34	53	44	66	51	50
ENSG00000200103	237	206	358	403	391	387	227	281
ENSG00000160165	1213	1347	2103	1924	1021	1684	1168	1048
ENSG00000170953	65	17	54	41	26	18	25	26
ENSG00000178620	2	2	11	9	10	3	10	8
ENSG00000142224	57	62	73	55	69	92	24	49
ENSG00000166678	16	7	5	4	10	14	14	4
ENSG00000147905	36	26	24	36	50	18	63	25
ENSG00000186749	95	75	130	107	79	119	107	121
ENSG00000147103	91	131	122	226	124	131	128	114
ENSG00000173946	2851	1299	3857	1328	4139	2254	5160	3154
ENSG00000175279	39	13	26	18	18	9	38	27
ENSG00000188569	405	248	255	179	362	274	211	303
ENSG00000198606	85	62	120	61	79	30	103	81
ENSG00000216335	1496	2113	1281	1279	2776	1952	1794	1960
ENSG00000245692	36801	17912	14454	25270	30322	20652	25206	23294
ENSG00000233097	144	271	263	289	283	196	314	258
ENSG00000242705	1908	5885	7727	3631	1951	1912	6459	5176
ENSG00000125728	73	60	49	49	45	84	39	98
ENSG00000136583	4	6	5	6	5	3	6	5
ENSG00000132106	8	27	13	14	7	9	15	18
ENSG00000169878	10	6	9	4	11	9	9	1
ENSG00000144191	37	14	15	28	12	13	18	52
ENSG00000164801	71	70	60	70	78	44	83	98
ENSG00000155794	2899	2442	1580	1142	1014	1327	974	1134
ENSG00000207115	551	619	592	299	506	868	811	507
ENSG00000152608	493	422	542	501	404	455	379	423
ENSG00000182359	49	77	92	58	51	57	87	72
ENSG00000159479	27	54	32	23	22	23	27	31
ENSG00000101311	76	218	151	148	231	219	164	178
ENSG00000160282	196	180	245	219	115	290	160	143
ENSG00000113427	275	201	203	224	333	286	293	231
ENSG00000116268	225	282	200	345	273	335	242	300
ENSG00000232757	167	138	120	125	157	56	132	119
ENSG00000110217	1	5	2	2	1	5	3	3
ENSG00000229486	12	14	25	4	13	19	31	26
ENSG00000202606	23	44	24	18	21	35	27	18
ENSG00000110239	2117	3052	3589	5657	5607	2968	3592	2036
ENSG00000194923	31	146	49	34	64	57	69	95
ENSG00000236724	944	375	1467	345	1035	612	1019	328
ENSG00000178183	3230	2431	3936	2980	3758	3119	4372	2550
ENSG00000117132	197	293	277	360	252	255	466	334
ENSG00000115455	53	59	57	56	64	117	87	81
ENSG00000219332	69	100	112	58	75	70	43	103
ENSG00000154011	13	24	28	18	17	10	19	14
ENSG00000170908	332	316	167	404	467	382	219	242
ENSG00000184696	651	2114	1101	967	1537	1851	1376	1559
ENSG00000184286	402	521	497	309	607	514	271	311
ENSG00000130108	853	449	1004	583	963	647	985	291
ENSG00000157298	593	505	385	670	380	923	194	308
ENSG00000198489	9445	4199	7314	8327	10664	7304	15130	9052
ENSG00000243887	39	26	23	19	38	68	51	28
ENSG00000155906	160	122	69	298	314	200	279	169
ENSG00000140793	492	720	1143	821	516	557	334	274
ENSG00000189333	1806	2695	1017	2222	1579	1420	1292	2285
ENSG00000229403	1	1	1	3	1	2	1	1
ENSG00000134191	35	57	78	46	37	38	37	77
ENSG00000157138	83	90	60	87	71	115	46	135
ENSG00000159815	30	27	39	24	26	30	7	20
ENSG00000154041	488	825	672	666	1213	798	891	778
ENSG00000119446	196	270	330	173	146	231	171	263
ENSG00000248387	86	66	59	62	44	76	59	105
ENSG00000113489	2	9	5	10	2	6	2	8
ENSG00000124940	13	9	6	10	5	9	7	11
ENSG00000155383	14	27	10	16	32	25	11	21
ENSG00000239680	544	400	458	469	545	264	254	196
ENSG00000153888	23	11	12	12	12	10	15	3
ENSG00000141798	0	1	6	2	7	3	1	2
ENSG00000222374	6	11	13	9	11	19	3	3
ENSG00000248591	46	48	36	47	39	18	36	58
ENSG00000124554	4518	3583	5029	3150	2217	5408	3262	4048
ENSG00000211036	15058	16784	27495	13996	32774	18952	26544	16771
ENSG00000187178	27	18	55	66	79	40	112	45
ENSG00000138203	2585	954	2747	783	2079	1109	1797	544
ENSG00000184396	1827	3005	2103	2244	2718	3918	1848	2513
ENSG00000137250	1487	1863	1681	1766	3029	1539	1693	2348
ENSG00000174347	463	47	302	115	185	105	228	118
ENSG00000232008	22	17	29	5	22	10	9	10
ENSG00000232454	55	42	62	53	53	33	72	68
ENSG00000172716	7	3	4	3	10	6	5	6
ENSG00000166568	269	192	188	288	453	246	237	203
ENSG00000200090	1012	1125	461	674	930	469	570	899
ENSG00000148841	3	2	2	4	4	1	2	1
ENSG00000215072	135	119	163	157	170	56	98	127
ENSG00000123631	450	452	190	238	175	339	286	253
ENSG00000106664	1562	1744	3237	1304	2073	1473	1553	849
ENSG00000207296	1826	1825	2580	1606	1779	1746	2959	1558
ENSG00000135367	887	901	1038	823	805	588	409	419
ENSG00000236046	29	53	34	34	46	17	31	36
ENSG00000175763	83	84	54	91	40	56	57	18
ENSG00000102083	1284	1260	1401	1308	1253	2211	1782	3279
ENSG00000147648	60	53	51	38	46	37	31	43
ENSG00000120586	191	152	78	197	101	122	96	162
ENSG00000127680	2874	4086	2612	4987	2907	3835	2121	4279
ENSG00000135215	346	218	202	223	172	135	228	287
ENSG00000193922	10	10	6	3	10	9	3	21
ENSG00000212660	49	77	95	129	107	67	59	134
ENSG00000126242	563	614	555	618	534	424	544	581
ENSG00000229996	98	137	100	100	88	122	81	68
ENSG00000176882	1190	1506	2348	1131	1220	1662	1131	1722
ENSG00000213184	843	1923	2853	1385	1827	1406	1658	2311
ENSG00000183484	66	42	49	38	53	35	41	45
ENSG00000205531	72	34	103	62	33	60	49	27
ENSG00000126289	73	133	178	83	99	154	103	140
ENSG00000150399	14	15	12	12	14	25	16	10
ENSG00000233718	276	237	228	505	108	401	285	290
ENSG00000105073	114	63	95	128	97	113	180	92
ENSG00000179386	772	1072	812	746	1159	1087	540	969
ENSG00000215587	45	36	56	75	28	59	24	34
ENSG00000105926	21	15	18	30	25	34	32	15
ENSG00000232018	8256	5479	4527	3482	5086	5513	3562	6625
ENSG00000209980	19	15	28	27	34	14	22	36
ENSG00000177280	51	45	47	38	20	61	52	61
ENSG00000214915	51	34	23	59	41	33	32	21
ENSG00000145705	58	56	68	108	69	57	50	27
ENSG00000215642	55	23	15	17	13	14	22	36
ENSG00000221402	100	110	190	195	154	160	178	102
ENSG00000123440	22	33	28	29	42	29	22	20
ENSG00000128084	45	65	59	53	42	72	50	80
ENSG00000191916	279	155	324	414	416	276	214	197
ENSG00000191684	798	534	729	659	355	808	1066	554
ENSG00000194690	351	352	260	635	393	439	382	308
ENSG00000209387	74	36	87	29	52	39	65	20
ENSG00000137910	358	254	248	282	271	365	362	310
ENSG00000211860	72	49	128	89	100	65	133	142
ENSG00000238620	92	51	120	193	237	130	130	186
ENSG00000216327	4	2	6	4	4	1	5	4
ENSG00000245497	286	514	444	685	504	702	715	779
ENSG00000202726	84	135	137	122	115	94	120	145
ENSG00000180317	2867	4689	3958	4201	5668	3634	4378	3573
ENSG00000151691	416	415	625	309	383	835	484	408
ENSG00000153583	20	13	22	23	7	20	20	21
ENSG00000161611	10	9	19	3	11	10	20	8
ENSG00000240851	1021	2073	1668	1376	399	1558	1455	2501
ENSG00000143057	18	10	26	24	22	34	33	31
ENSG00000108630	991	1056	393	361	763	588	380	730
ENSG00000229548	72	89	67	83	129	93	79	43
ENSG00000115107	11436	14169	14536	6565	5403	6623	7604	8224
ENSG00000148532	173	117	172	218	288	95	48	192
ENSG00000209100	2441	2440	5765	2195	1933	2774	5741	3051
ENSG00000117897	2866	2510	1976	1334	2574	1587	2145	2192
ENSG00000155791	58	56	79	38	37	38	52	37
ENSG00000243631	75	125	55	56	153	91	233	66
ENSG00000234078	1512	2028	3526	3551	3173	4506	2274	2484
ENSG00000147600	126	210	174	197	217	157	159	224
ENSG00000146348	23	32	38	39	19	28	24	22
ENSG00000100684	914	2661	2046	2108	994	1884	2349	3466
ENSG00000223936	37783	16565	28281	25477	22864	27010	30851	37997
ENSG00000124546	132	118	221	140	208	163	164	163
ENSG00000178817	2409	2237	2650	2052	2687	2441	3085	2140
ENSG00000227287	223	182	194	92	132	92	147	115
ENSG00000103377	1620	1513	2441	1823	3622	3192	1239	2389
ENSG00000139086	97	107	86	76	67	75	91	91
ENSG00000236779	1409	994	2055	3233	2328	2604	1810	1018
ENSG00000126601	468	378	397	524	457	383	457	523
ENSG00000211767	175	51	194	101	179	126	299	72
ENSG00000140953	239	202	331	233	309	178	216	156
ENSG00000182707	35	69	36	47	50	89	84	31
ENSG00000183713	29	19	19	17	36	14	65	10
ENSG00000171235	16	16	40	28	10	24	39	33
ENSG00000116701	112	77	136	146	149	161	151	67
ENSG00000154783	8	23	13	20	17	27	24	17
ENSG00000222451	746	291	280	408	430	409	521	251
ENSG00000198001	614	673	312	411	400	384	363	338
ENSG00000208226	602	454	743	336	1115	360	827	382
ENSG00000129295	68	99	57	68	42	50	30	64
ENSG00000227772	415	170	355	68	330	234	257	213
ENSG00000234623	141	150	195	113	176	124	175	136
ENSG00000184266	2264	2709	1621	1798	1728	3461	1911	2161
ENSG00000229461	33	29	45	52	38	39	28	13
ENSG00000203850	89	105	81	55	40	105	96	36
ENSG00000210563	74	60	90	188	79	119	80	96
ENSG00000126799	169	89	132	136	103	165	144	134
ENSG00000210841	27	61	48	30	26	35	33	50
ENSG00000170578	52	20	44	66	53	80	56	45
ENSG00000184910	1258	1678	1164	1534	1599	1096	865	848
ENSG00000185401	62	49	45	34	76	41	44	32
ENSG00000219909	1248	1639	1799	898	1598	680	1442	812
ENSG00000172727	12577	13369	6900	16523	6714	12601	8889	12361
ENSG00000219062	1243	1160	1623	1885	1919	1281	1777	2494
ENSG00000106763	4	4	4	2	7	1	9	4
ENSG00000101372	411	1141	885	838	1663	789	807	449
ENSG00000101302	390	450	514	557	248	817	571	632
ENSG00000235471	594	303	604	580	416	747	483	204
ENSG00000156093	7	6	19	2	17	1	8	8
ENSG00000239013	503	857	545	1174	631	750	876	1563
ENSG00000173360	10	18	29	30	13	26	16	26
ENSG00000137968	1254	2067	3038	2412	2845	773	2269	3451
ENSG00000202599	1018	1636	1196	844	623	1442	1477	1900
ENSG00000150572	43076	42128	25869	17186	14987	16098	37484	18265
ENSG00000103591	50	99	48	97	54	142	87	98
ENSG00000105204	7	11	7	11	2	8	8	8
ENSG00000180685	1744	986	892	1038	935	1094	1094	1213
ENSG00000171857	1472	718	576	1322	1396	695	930	656
ENSG00000215954	29	124	62	98	106	106	98	58
ENSG00000234480	3424	1593	3150	1004	2474	2189	1936	2411
ENSG00000111816	1038	969	1603	421	1333	905	2293	801
ENSG00000197523	10	5	3	6	12	3	6	18
ENSG00000179872	100	137	82	75	79	79	91	50
ENSG00000169577	59	49	81	111	61	82	28	54
ENSG00000195271	99	169	105	109	138	262	57	122
ENSG00000225831	151	249	330	248	306	108	245	209
ENSG00000100829	39	61	66	66	21	28	55	43
ENSG00000113442	90	133	121	104	81	109	84	142
ENSG00000171399	553	570	648	845	922	518	880	357
ENSG00000244122	165	133	114	190	98	123	181	94
ENSG00000218399	74	55	91	60	142	75	72	83
ENSG00000182210	69	67	142	47	74	96	93	78
ENSG00000215177	221	161	375	159	214	162	228	101
ENSG00000138491	3	6	2	2	6	6	1	5
ENSG00000186707	114	147	347	99	138	215	446	286
ENSG00000179052	27	13	28	26	13	33	29	8
ENSG00000208229	222	233	291	286	155	280	199	223
ENSG00000146337	2	18	13	9	6	9	15	8
ENSG00000125500	1126	1010	1376	608	656	1037	804	845
ENSG00000128567	230	177	274	130	267	341	190	260
ENSG00000102310	5	22	20	5	4	26	14	13
ENSG00000223199	224	223	275	118	201	270	170	212
ENSG00000244454	60	36	58	32	79	34	112	45
ENSG00000100335	7908	3612	9446	4774	4994	7660	10829	5616
ENSG00000247125	323	257	265	468	336	366	514	398
ENSG00000218140	56	32	33	17	48	59	30	37
ENSG00000158238	370	333	159	274	190	200	298	290
ENSG00000217707	206	142	122	164	114	170	124	95
ENSG00000155567	2469	2375	2651	1330	2629	856	4902	2317
ENSG00000133244	282	453	271	231	201	304	365	280
ENSG00000121314	707	509	558	636	510	367	545	846
ENSG00000166070	11	34	22	15	11	23	20	28
ENSG00000214171	1117	351	506	615	942	315	630	468
ENSG00000194663	13136	12413	13223	16212	10357	12007	12096	9531
ENSG00000161641	433	296	793	417	766	432	575	826
ENSG00000139519	154	204	105	228	69	220	81	129
ENSG00000184497	289	245	183	320	184	410	255	305
ENSG00000149089	23	26	18	27	27	23	17	9
ENSG00000215746	209	224	384	207	251	323	228	202
ENSG00000195230	15	25	18	14	10	24	16	10
ENSG00000188608	306	203	218	145	148	130	192	173
ENSG00000128316	70	78	48	64	96	81	95	143
ENSG00000214826	29	23	61	56	32	21	47	32
ENSG00000203977	461	337	474	520	527	772	421	111
ENSG00000139659	5	12	3	9	5	14	13	8
ENSG00000171754	104	98	136	106	154	106	72	168
ENSG00000103491	11	14	13	9	4	4	5	19
ENSG00000169128	6064	3896	6226	2354	3865	7927	5721	5500
ENSG00000186813	8303	3232	10520	10690	9025	6981	9741	8634
ENSG00000153459	1731	810	1016	405	834	895	1292	396
ENSG00000104511	6734	11267	8383	5521	7581	9489	5412	5889
ENSG00000148317	693	517	323	636	582	609	560	729
ENSG00000119435	427	907	508	421	522	312	391	441
ENSG00000245234	63	64	49	48	75	81	81	71
ENSG00000232926	23	22	17	29	25	29	33	33
ENSG00000239255	142	207	204	159	194	197	206	130
ENSG00000100336	51	64	51	54	27	40	87	104
ENSG00000110195	82	41	58	17	79	58	39	56
ENSG00000169176	1241	985	1710	1013	1361	908	1837	1155
ENSG00000160435	171	137	208	113	171	90	155	159
ENSG00000106634	15	6	15	8	30	8	4	8
ENSG00000168392	88	136	98	50	110	179	126	209
ENSG00000249737	54	43	20	30	61	42	33	32
ENSG00000183086	133	186	88	92	49	96	121	65
ENSG00000142169	14	24	22	26	22	24	23	27
ENSG00000173620	2736	2160	1401	1646	1558	2482	1021	1340
ENSG00000143787	8463	5542	8019	6276	7078	4896	5341	8262
ENSG00000113463	12	13	13	37	8	15	12	10
ENSG00000133988	1406	500	388	501	500	993	542	565
ENSG00000227180	427	598	636	494	297	264	705	793
ENSG00000236946	24	20	18	17	23	21	34	21
ENSG00000110469	141	142	266	162	175	175	129	174
ENSG00000157813	1266	1592	2202	1906	2753	4141	2142	2542
ENSG00000233664	882	863	1191	822	1411	1042	739	937
ENSG00000220228	7467	7727	4543	3199	1917	7721	1469	2190
ENSG00000156935	9	12	5	46	10	10	17	20
ENSG00000117486	13	37	19	46	36	45	33	36
ENSG00000226916	575	76	418	527	606	114	518	317
ENSG00000106243	236	425	370	345	590	559	404	358
ENSG00000111544	204	114	224	123	165	160	152	181
ENSG00000150719	112	85	66	93	47	89	112	90
ENSG00000165282	222	48	143	64	266	52	101	95
ENSG00000225265	45	47	30	89	38	43	33	64
ENSG00000131605	263	455	207	221	706	466	331	290
ENSG00000197524	1	2	2	0	2	0	1	3
ENSG00000204341	4278	2650	2937	5218	4333	5638	4304	2762
ENSG00000223442	73	60	57	66	79	79	47	36
ENSG00000179592	7	16	5	7	6	5	8	11
ENSG00000213610	1495	637	1347	331	748	730	964	320
ENSG00000112152	12	6	13	8	6	17	7	9
ENSG00000238398	327	402	345	207	260	384	315	307
ENSG00000217442	101	74	81	56	58	80	70	66
ENSG00000194266	378	706	696	592	469	726	485	866
ENSG00000149280	680	796	610	846	660	461	948	611
ENSG00000226097	2869	2042	3023	1878	2021	2266	1207	2197
ENSG00000184938	58	38	59	57	56	62	60	60
ENSG00000146006	65	75	53	134	111	59	119	64
ENSG00000131915	313	54	211	76	228	131	428	88
ENSG00000237892	8	5	8	6	14	10	5	10
ENSG00000125643	411	782	566	472	432	378	624	342
ENSG00000241280	124	311	195	213	209	207	116	59
ENSG00000201801	10	11	6	5	12	9	15	10
ENSG00000178314	3324	1176	3948	1665	4362	2830	2696	1348
ENSG00000207163	1004	2784	2113	1042	2787	4011	2139	3633
ENSG00000142131	20	15	29	13	15	10	21	9
ENSG00000213679	585	248	627	852	550	197	576	1040
ENSG00000106426	1212	2578	2930	1977	1089	1842	3175	1734
ENSG00000203015	1358	1036	641	439	2370	716	1700	1040
ENSG00000156941	34	19	23	27	24	24	17	22
ENSG00000179845	16	23	10	13	2	6	1	11
ENSG00000133416	103	99	98	193	81	163	147	114
ENSG00000131876	63	33	59	54	69	77	57	49
ENSG00000231816	180	150	135	242	199	118	177	200
ENSG00000161637	148	123	120	111	129	105	157	104
ENSG00000222862	603	491	494	484	430	567	372	340
ENSG00000165726	58	59	77	67	54	39	57	68
ENSG00000230050	146	123	86	109	83	47	63	151
ENSG00000151601	43212	39171	42056	56808	23360	57575	36133	38089
ENSG00000168903	106	134	80	132	102	85	101	124
ENSG00000210496	302	505	835	554	720	1040	599	809
ENSG00000137192	205	245	279	271	434	163	359	254
ENSG00000186536	219	321	256	131	325	146	370	181
ENSG00000249706	20	19	22	30	11	37	39	27
ENSG00000193990	255	630	407	532	298	183	400	729
ENSG00000231817	155	140	129	86	113	86	98	142
ENSG00000118594	1886	813	1023	1000	1655	657	967	585
ENSG00000196573	9119	5492	8874	11915	6224	13564	10505	15147
ENSG00000216633	476	238	333	230	468	122	327	86
ENSG00000121976	764	798	760	392	445	559	726	932
ENSG00000138050	22	33	20	26	21	18	22	25
ENSG00000226195	174	194	164	193	169	298	125	264
ENSG00000158139	5192	4280	4435	3327	6722	1139	3918	2722
ENSG00000212454	188	250	265	146	159	99	182	87
ENSG00000120275	146	32	77	49	47	52	92	36
ENSG00000128312	217	187	266	145	117	184	193	209
ENSG00000186289	359	79	136	58	202	47	72	169
ENSG00000204797	89	83	80	99	117	85	78	90
ENSG00000159911	38	67	69	53	108	66	91	65
ENSG00000157192	7558	11527	6316	6439	14006	9817	7395	6021
ENSG00000100082	35	37	20	18	29	30	21	30
ENSG00000132813	132	80	98	58	129	73	202	95
ENSG00000128602	17	28	31	85	52	65	54	55
ENSG00000242492	1504	2468	1316	1231	2737	2408	1630	1163
ENSG00000230370	106	65	120	58	106	111	110	69
ENSG00000226427	1983	2761	3682	3235	2571	1262	4952	2835
ENSG00000193348	252	255	141	346	149	219	166	142
ENSG00000174693	96	144	211	197	148	181	217	80
ENSG00000111248	12	6	9	7	14	15	22	14
ENSG00000108374	2535	1763	1244	1685	1263	1999	1138	2258
ENSG00000238357	361	381	543	521	696	625	558	400
ENSG00000244458	301	337	400	319	152	176	173	165
ENSG00000237213	159	148	88	97	154	150	133	90
ENSG00000159980	76	40	40	50	80	61	91	81
ENSG00000183844	18	13	9	14	9	16	19	5
ENSG00000222145	949	756	723	1499	697	1050	1133	1215
ENSG00000225691	219	242	296	151	165	234	236	202
ENSG00000117604	93	88	98	105	52	146	91	13
ENSG00000153833	22	34	50	45	33	43	59	48
ENSG00000106724	287	240	303	280	243	117	154	176
ENSG00000167573	300	108	283	226	195	86	372	125
ENSG00000194130	4823	5132	6664	5206	6715	6737	3947	4566
ENSG00000187457	1079	223	717	612	525	624	470	698
ENSG00000237742	37	56	62	29	41	36	47	41
ENSG00000124775	12	18	19	13	16	15	21	14
ENSG00000201784	51	95	85	137	115	102	77	70
ENSG00000206039	29	21	22	17	31	22	24	42
ENSG00000161984	162	182	228	243	151	157	200	221
ENSG00000185275	266	513	325	276	399	151	167	271
ENSG00000214690	1274	435	918	518	752	360	772	225
ENSG00000239705	374	306	421	187	374	558	280	428
ENSG00000229121	119	121	171	74	179	80	120	98
ENSG00000197352	469	417	673	404	659	502	763	601
ENSG00000177410	19	24	32	22	35	32	24	18
ENSG00000182214	50	104	130	79	106	121	143	181
ENSG00000217014	252	939	632	676	517	369	782	629
ENSG00000188432	459	360	256	217	472	207	138	370
ENSG00000108752	9	15	21	7	26	15	7	7
ENSG00000167656	15	19	18	15	11	43	22	22
ENSG00000152217	8	5	9	5	7	3	4	9
ENSG00000179058	5117	5401	5966	3752	5180	5614	6363	10885
ENSG00000248169	8	9	11	4	5	7	1	3
ENSG00000109048	105	92	136	58	123	290	141	135
ENSG00000185911	6455	5994	6299	4416	3512	6039	6941	3541
ENSG00000146281	1348	1621	1075	1506	870	1140	951	1459
ENSG00000202574	2301	2159	2882	2429	2525	1616	2516	2616
ENSG00000212246	41	68	90	58	36	54	47	78
ENSG00000141654	1051	315	1122	611	592	330	1459	484
ENSG00000207211	47721	60668	62198	21578	101412	26552	50647	98441
ENSG00000238807	103	84	214	158	140	103	106	46
ENSG00000118365	203	417	163	276	418	340	202	306
ENSG00000136247	98	132	44	73	74	65	39	47
ENSG00000231739	112	151	179	143	184	147	170	131
ENSG00000161266	187	170	219	479	219	456	276	275
ENSG00000117623	1834	2694	1947	3953	2284	1597	3934	1881
ENSG00000201782	81	19	63	11	72	16	73	17
ENSG00000141300	10	11	9	12	21	3	15	15
ENSG00000186569	124	182	125	110	157	169	184	127
ENSG00000211516	341	108	310	397	153	335	250	125
ENSG00000207194	1378	1900	1850	1762	3140	1757	2063	3469
ENSG00000188903	702	1307	922	1318	694	761	647	376
ENSG00000189055	43	38	22	41	62	46	44	60
ENSG00000108819	338	483	426	442	429	639	268	457
ENSG00000205294	926	1750	1177	1514	1464	1427	1488	2018
ENSG00000194510	280	243	233	210	286	181	379	210
ENSG00000163373	36	76	86	75	57	43	159	57
ENSG00000150899	1018	825	1576	470	1093	573	1033	688
ENSG00000247632	87	103	70	85	36	106	45	58
ENSG00000149836	3	1	1	6	0	5	4	0
ENSG00000103021	1486	1998	2172	940	2315	1917	2341	3001
ENSG00000149554	18	10	20	13	29	17	26	7
ENSG00000222989	64	57	44	106	148	79	81	118
ENSG00000227682	54	59	61	76	50	93	84	55
ENSG00000207819	50	126	48	129	37	72	129	104
ENSG00000246530	129	98	152	94	258	117	203	98
ENSG00000149045	5	14	8	11	14	5	6	3
ENSG00000112818	709	558	550	396	1272	250	685	619
ENSG00000244120	347	105	507	82	217	150	510	144
ENSG00000211005	163	298	88	141	80	122	218	200
